Project Number,Zip Code,Sector,Purchase Type,Application_Month,Project Status,Total Inverter Quantity,Total PV Module Quantity,Hardware Cost,Labor Cost,misc cost,$Incentive,Total Nameplate kW DC,Expected kWh Annual Production,
296369,10543,Residential,Purchase,20,Pipeline,2,36,12925,2820,7755,2448,12.24,12547,23500
297771,10543,Residential,Power Purchase Agreement,20,Pipeline,18,18,3099.6,3719.52,13844.88,1260,6.3,6329,20664
295659,10543,Residential,Lease,25,Pipeline,1,18,11131.08,3065.08,1935.84,1134,5.67,6167,16132
297766,10543,Residential,Power Purchase Agreement,20,Pipeline,12,12,5107.2,2284.8,6048,840,4.2,4057,13440
312186,10543,Residential,Lease,9,Pipeline,1,12,6537.02,1726.76,4070.22,816,4.08,4772,12334
308695,10546,Residential,Purchase,18,Pipeline,20,20,24228.4,3563,7838.6,868,7,5704,35630
315263,10547,Residential,Lease,23,Pipeline,39,39,14441.162,13719.1039,44045.5441,1454,12.75,9501,72205.81
312476,10547,Residential,Lease,10,Pipeline,2,34,5335.05,4623.71,25608.24,2312,11.56,10859,35567
278719,10547,Residential,Purchase,6,Complete,27,27,16762.72,6447.2,9026.08,2025,10.13,10645,32236
290277,10547,Residential,Lease,10,Complete,1,27,14374.6065,3513.7927,14055.1708,1836,9.18,8468,31943.57
308344,10547,Residential,Lease,17,Pipeline,2,30,12352.56,5053.32,10668.12,1285,10.2,8508,28074
294880,10547,Residential,Lease,21,Complete,30,30,19688.76,3533.88,2019.36,1244,10.2,7735,25242
272975,10547,Residential,Power Purchase Agreement,5,Pipeline,24,24,17053.584,4514.184,3511.032,1030,7.8,6429,25078.8
275146,10547,Residential,Power Purchase Agreement,4,Complete,22,22,14042.9008,2264.984,6341.9552,929,7.04,6214,22649.84
283840,10547,Residential,Lease,15,Complete,28,28,7362.96,2454.32,12494.72,1708,8.54,7856,22312
296611,10547,Residential,Purchase,12,Complete,7,7,7768.9584,1849.752,2712.9696,504,2.52,2545,12331.68
301765,10548,Residential,Lease,7,Complete,33,33,5660.82,3345.03,16725.15,1234,11.22,8083,25731
